"FiscalFundId","FundName","SierraFundCode","SierraFundCodeNumeric","SierraFundCodeSpaces","GLKey","GLObj"
1,"Abell Bk Firm Gen","ABEBFGEN",4,"ABE B F GEN",8119100115,5410
2,"ATLA AV Firm AND","ANDAFAND",5,"AND A F AND",2101202202,5430
3,"ATLA AV Firm MTW","ANDAFMTW",6,"AND A F MTW",2101252252,5430
4,"ATLA Bk Firm AND","ANDBFAND",7,"AND B F AND",2101202202,5410
5,"ATLA Bk Firm MTW","ANDBFMTW",8,"AND B F MTW",2101252252,5410
6,"Dwyer Bk Firm Out","DWYBFOUT",9,"DWY B F OUT",8163100192,5410
7,"Feld Bk Firm Adult","FELBFADU",10,"FEL B F ADU",8112100651,5410
8,"Feld Bk Firm Juv","FELBFJUV",11,"FEL B F JUV",8112100651,5410
9,"Feld Bk Recur Adult","FELBRADU",12,"FEL B R ADU",8112100651,5410
10,"Friedman AV F Out","FRIAFOUT",13,"FRI A F OUT",7110100600,5430
11,"Gen AV Firm Admin","GENAFADM",14,"GEN A F ADM",1100100500,5430
12,"Gen AV Firm CD Adu","GENAFADU",15,"GEN A F ADU",1100100500,5430
13,"Gen AV Firm CLC","GENAFCLC",16,"GEN A F CLC",1100100500,5430
14,"Gen AV Firm CD Tn","GENAFCLT",17,"GEN A F CLT",1100100500,5430
15,"Gen AV Firm Geneal","GENAFGEN",18,"GEN A F GEN",1100100500,5430
16,"Gen AV Firm CD Juv","GENAFJUV",19,"GEN A F JUV",1100100500,5430
17,"Gen AV Firm Out","GENAFOUT",20,"GEN A F OUT",1100100500,5430
18,"Gen AV Firm Pop Lib","GENAFPOP",21,"GEN A F POP",1100100500,5430
19,"Gen AV Firm Tn Cen","GENAFTEE",22,"GEN A F TEE",1100100500,5430
20,"Gen AV Recur Adu","GENARADU",23,"GEN A R ADU",1100100500,5430
21,"Gen AV Recur Tn","GENARCLT",24,"GEN A R CLT",1100100500,5430
22,"Gen AV Recur Juv","GENARJUV",25,"GEN A R JUV",1100100500,5430
23,"Gen Bk Firm Adm","GENBFADM",26,"GEN B F ADM",1100100500,5410
24,"Gen Bk Firm Adu","GENBFADU",27,"GEN B F ADU",1100100500,5410
25,"Gen Bk Firm CLC","GENBFCLC",28,"GEN B F CLC",1100100500,5410
26,"Gen Bk Firm CD Tn","GENBFCLT",29,"GEN B F CLT",1100100500,5410
27,"Gen Bk Firm Geneal","GENBFGEN",30,"GEN B F GEN",1100100500,5410
28,"Gen Bk Firm IRF","GENBFIRF",31,"GEN B F IRF",1100100500,5410
29,"Gen Bk Firm Juv","GENBFJUV",32,"GEN B F JUV",1100100500,5410
30,"Gen Bk Firm Mag","GENBFMAG",33,"GEN B F MAG",1100100500,5410
31,"Gen Bk Firm Out","GENBFOUT",34,"GEN B F OUT",1100100500,5410
32,"Gen Bk Firm Pop Lib","GENBFPOP",35,"GEN B F POP",1100100500,5410
33,"Gen Bk Firm Tn Cen","GENBFTEE",36,"GEN B F TEE",1100100500,5410
34,"Gen Bk Recur Adm","GENBRADM",37,"GEN B R ADM",1100100500,5410
35,"Gen Bk Recur Adu","GENBRADU",38,"GEN B R ADU",1100100500,5410
36,"Gen Bk Recur CLC","GENBRCLC",39,"GEN B R CLC",1100100500,5410
37,"Gen Bk Recur CD Tn","GENBRCLT",40,"GEN B R CLT",1100100500,5410
38,"Gen Bk Recur Geneal","GENBRGEN",41,"GEN B R GEN",1100100500,5410
39,"Gen Bk Recur IRF","GENBRIRF",42,"GEN B R IRF",1100100500,5410
40,"Gen Bk Recur Juv","GENBRJUV",43,"GEN B R JUV",1100100500,5410
41,"Gen Bk Recur Mag","GENBRMAG",44,"GEN B R MAG",1100100500,5410
42,"Gen Bk Recur Pop","GENBRPOP",45,"GEN B R POP",1100100500,5410
43,"Gen Elec Firm DBK","GENEFDBK",46,"GEN E F DBK",1100100500,5450
44,"Gen Elec Firm EBK","GENEFEBK",47,"GEN E F EBK",1100100500,5450
45,"Gen Elec Firm WEB","GENEFWEB",48,"GEN E F WEB",1100100500,5450
46,"Gen Elec Recur DBK","GENERDBK",49,"GEN E R DBK",1100100500,5450
47,"Gen Elec Recur MusIC","GENERDMU",50,"GEN E R DMU",1100100500,5450
48,"Gen Elec Recur EBK","GENEREBK",51,"GEN E R EBK",1100100500,5450
49,"Gen Elec Recur WEB","GENERWEB",52,"GEN E R WEB",1100100500,5450
50,"Gen Per Firm Adu","GENPFADU",53,"GEN P F ADU",1100100500,5420
51,"Gen Per Recur Adu","GENPRADU",54,"GEN P R ADU",1100100500,5420
52,"Gift Bk Firm Adu","GIFBFADU",55,"GIF B F ADU",2199100650,5410
53,"Gift Bk Firm Tn","GIFBFCLT",56,"GIF B F CLT",2199100650,5410
54,"Gift Bk Firm Juv","GIFBFJUV",57,"GIF B F JUV",2199100650,5410
