FiscalVendorId,FiscalVendorCode,VendorName,SierraVendorCode
1,265155,A & E HOME VIDEO,13975
2,265155,A & E HOME VIDEO,13975
3,281366,A FILMED RECORD,v1174
4,271434,A GENTLE WIND,v305
5,267878,A. B. FRIERSON,22757
6,267549,A. H. FERGUSON,22417
7,265473,A. K. PETERS,17442
8,267888,A. R. E. PRESS,22767
9,267313,A. RUTH CREATIONS,22169
10,273414,A. RUTH CREATIONS,v504
11,268850,A. S. PRATT & SONS,74670
12,272196,A.D.A. EDITA TOKYO COMPANY LIM,v424
13,268975,A.M. BEST CO.,9460
14,267523,A.M. BEST COMPANY INC.,22387
15,268445,A.M.P.A.S.,3751
16,281437,A-CAPPELLA,v1193
17,268330,A-R EDITIONS INC,277
18,267059,A'SAPH YISRAEL,21909
19,266246,AAA CINCINNATI,21031
20,266928,AACE - ASSOCIATION FOR THE,21771
21,265886,AAFRC TRUST FOR PHILANTHROPY,19941
22,266633,AAPC,21454
23,266123,AARDVARK VANHEIM,20820
24,267307,AARDWOLF PRESS,22163
25,278295,AARON DELAMATRE,v751
26,281169,AATE,v1118
27,266930,ABA BANKING JOURNAL,21773
28,268402,ABARIS BOOKS,331
29,268424,ABBEVILLE PUBLISHING GROUP,351
30,266318,ABBEY PUBLICATIONS INC.,21123
31,265771,ABC DIRECTORY,19370
32,264990,ABC-CLIO INC.,120
33,266490,ABCS PUBLISHING,21306
34,266935,ABDO PUB.,21779
35,266548,ABE OSHEROFF,21365
36,279980,ABERDEEN & NE SCOTLAND FAMILY,v948
37,282171,ABM PUBLISHING LTD.,v1343
38,269333,ABODE OF THE ETERNAL TAO,v22
39,282813,ABRAHAM MOLLER,v1443
40,279895,ABRAMS & COMPANY,v943
41,281438,ABSOLUTE BACKORDER SERVICE,v1194
42,278796,ABSOLUTE MULTIMEDIA INC.,v800
43,269121,ABSOLUTE PRESS,21747
44,268535,ACADEMIC INTERNATIONAL PRESS,475
45,264929,ACADEMIC PRESS,11251
46,268591,ACADEMIC PRESS INC,520
47,267218,ACADEMY CHICAGO PUBLISHERS,22073
48,276210,ACADEMY OF MANAGEMENT JOURNAL,v647
49,268641,ACADEMY OF MEDICINE,566
50,268654,ACADIAN GENEALOGY EXCHANGE,570
51,266233,ACCESS PRODUCTIONS,21012
52,265133,ACCESS PUBLISHERS NETWORK,13759
53,266187,ACCESS RUSSIA,20945
54,280460,ACCLAIM PRESS,v1023
55,265055,ACCUITY,12865
56,266729,ACETO BOOKMEN,21552
57,266378,ACHIEVEMENT U.S.A. CORPORATION,21190
58,273494,ACJS SECRETARIAT,v523
59,265721,ACL & SAL RAILROADS HISTORICAL,19033
60,267872,ACORN ALLIANCE,22750
61,266211,ACORN BOOKS,20983
62,265290,ACORN MEDIA PUBLISHING,15636
63,267844,ACRES USA,22720
64,267984,ACS PUBLICATIONS,22868
65,269880,ACTRACE,v126
66,274307,ADAIR COUNTY GENEALOGICAL SOCI,v573
67,266632,ADAIR PUBLISHING,21453
68,267253,ADAM CONWAY,22109
69,268150,ADAMS COUNTY GENEALOGICAL,23051
70,268905,ADAMS MEDIA CORPORATION,79532
71,267583,ADDAX PUBLISHING GROUP,22451
72,267309,ADDICUS BOOKS INC.,22165
73,268952,ADDISON-WESLEY PUBLISHING CO.,8739
74,266769,ADELL PRESS,21597
75,271444,ADELMORE PRESS,v313
76,265249,ADIRONDACK LIFE,15229
77,265669,ADOPTIVE FAMILIES OF AMERICA,18732
78,265312,ADVANSTAR COMMUNICATIONS INC,15912
79,264983,ADVANSTAR MARKETING SERVICES,11991
80,265009,ADVANTEDGE,12193
81,265884,ADVENTIST BOOK CENTER,19926
82,265403,ADVENTURE PUBLICATIONS INC.,16836
83,271276,ADVENTURE TRAIL PUBLISHING,v270
84,265150,ADVENTURE TRAVEL SOCIETY INC.,13933
85,266959,ADVENTURE--BACK ISSUES,21805
86,266189,ADVENTURES UNLIMITED PRESS,20947
87,267012,ADVISOR MEDIA,21860
88,265094,ADWEEK DIRECTORIES,13305
89,267628,ADWEEK EASTERN,22496
90,266561,AEON PUBLISHING CO INC,21378
91,268014,AFRICA WORLD PRESS,22902
92,265085,AFRICA WORLD PRESS INC.,13201
93,268261,AFRICAN AMERICAN GENEALOGY,23171
94,264883,AFRICAN AMERICAN IMAGES,10616
95,265251,AFRICAN-AMERICAN GENEALOGICAL,15285
96,267275,AFRICANA HOMESTEAD LEGACY,22131
97,265217,AFRO AMERICAN PRESS,14771
98,268475,AFRO-AMERICAN HISTORICAL AND,4034
99,274962,AFRO-AMERICANS IN NEW YORK LIF,v600
100,267277,AFTON HISTORICAL SOCIETY,22133
101,276796,AGO,v680
102,267389,AGRINDE PUBLICATIONS,22245
103,274898,AGS EDMONTON BRANCH,v597
104,266102,AGU,20766
105,268087,AHA PROCESS INC.,22979
106,279677,AHMED DIENG,v896
107,264932,AHSGR,11272
108,265242,AICPCU,15111
109,279830,AIKEN-BARNWELL GENEALOGICAL SO,v932
110,273426,AIR FORCE ASSOCIATION,v517
111,265040,AIRBRUSH ACTION,1252
112,266500,AIRCRAFT OWNERS & PILOTS ASSN,21316
113,267653,AJ PRODUCTIONS INC.,22524
114,280270,AJUMPSBSHOOTS PRODUCTION,v981
115,267047,AKADEMIAI KIADO RT.,21897
116,266525,AKASHIC BOOKS,21341
117,267339,AKB PUBLICATIONS,22195
118,268625,AKRON BEACON JOURNAL,5477
119,270394,AL ALFARO BOOK SALES,v192
120,267041,AL JUMUAH,21890
121,281083,AL-ANON FAMILY GROUP HEADQUART,v1098
122,265956,AL-SAADAWI PUBLICATIONS,20264
123,265552,ALAN C. HOOD & COMPANY,17996
124,265147,ALAN MEYERS & ASSOCIATES,13904
125,266577,ALAN MORTON,21395
126,268788,ALAN WOFSY FINE ARTS,6896
127,266438,ALASKA MAGAZINE,21251
128,266086,ALBAN INSTITUTE,20711
129,265086,ALBEMARLE COUNTY HISTORICAL,1320
130,265585,ALBERT EINSTEIN INSTITUTION,18252
131,267256,ALBRIGHT-KNOX ART GALLERY,22112
132,269110,ALECTO HISTORICAL EDITIONS,20861
133,267484,ALEMBIC PRESS,22344
134,267640,ALEMBIC PRESS,22508
135,267167,ALEPH-BET BOOKS INC.,22019
136,265291,ALEXANDER BOOKS,15657
137,280371,ALEXANDER COUNTY ANCESTRY ASSO,v1012
138,268988,ALEXANDER HAMILTON INSTITUTE,9629
139,280250,ALEXANDER STREET PRESS,v980
140,265529,ALFRED CRAIG,17863
141,268436,ALFRED JAEGER INC.,36250
142,268332,ALFRED PUBLISHING COMPANY,2786
143,268959,ALFRED PUBLISHING COMPANY,9100
144,265801,ALIBRIS,19523
145,269560,ALICE H. BALTERMAN,v44
146,282790,ALICE SKIRTZ,v1442
147,267896,ALIFORM GROUP,22776
148,266249,ALISE,21040
149,281153,ALISSA COHEN,v1116
150,280164,ALLAN L. HORVATH PUBLICATIONS,v971
151,267743,ALLAN W. BERNARD OR URSULINES,22616
152,271619,ALLEN COUNTY CHAPTER OGS,v353
153,269152,ALLEN COUNTY GENEALOGICAL SOCIETY,v5
154,264965,ALLIANCE GENEALOGICAL SOCIETY,11823
155,267050,ALLURED PUBLISHING CORPORATION,21900
156,265115,ALLY PRESS CENTER,13553
157,267596,ALLYN AND BACON,22464
158,266509,ALMA A. SMITH,21325
159,267148,ALMAGRE BOOKS,22000
160,269100,ALPHA ACADEMIC,1500
161,268121,ALPHA OMEGA,23017
162,271402,ALPHABET RESOURCES INC.,v289
163,267766,ALTA BOOKS,22641
164,266084,ALTAMIRA PRESS,20707
165,280640,ALTERNATE GOLF SHOT INC.,v1062
166,268112,ALTERNATIVE INVESTOR,23007
167,267382,ALTOONA AREA PUBLIC LIBRARY,22239
168,264885,ALTSCHUL GROUP CORPORATION,10625
169,266591,ALUMNI ASSOCIATION,21409
170,267247,ALURE PRODUCTIONS,22103
171,265935,AMANA PUBLICATIONS,20187
172,266451,AMATEUR CHAMBER MUSIC PLAYERS,21264
173,265717,AMAZON,19024
174,269127,AMAZONIA CONFERENCE,22509
175,267924,AMBAR PAST,22805
176,267823,AMBASSADOR FAITH WHITTLESEY,22699
177,267344,AMBER-ALLEN PUBLISHING,22200
178,265263,AMBLESIDE EDUCATIONAL PRESS,15427
179,264967,AMBROSE VIDEO PUBLISHERS,11830
180,265377,AMC PUBLISHING COMPANY,16581
181,265351,AMEREON LTD.,1625
182,265104,AMERICA'S COMMUNITY BANKERS,13434
183,278926,AMERICA'S SECOND HARVEST,v809
184,266698,AMERICAN ACADEMY OF FAMILY,21521
185,272333,AMERICAN ANTIQUARIAN SOCIETY,v429
186,265779,AMERICAN ASSOCIATION FOR,1940
187,264974,AMERICAN ASSOCIATION OF,11891
188,265202,AMERICAN ASSOCIATION OF,14609
189,266657,AMERICAN ASSOCIATION OF,2147
190,266954,AMERICAN ASSOCIATION OF,21799
191,266998,AMERICAN ASSOCIATION OF,21846
192,268680,AMERICAN ASSOCIATION OF,5944
193,277569,AMERICAN ASSOCIATION OF INDIVI,v723
194,267643,AMERICAN ASSOCIATION ON MENTAL,22512
195,275935,AMERICAN ASTRONAUTICAL SOCIETY,v636
196,271970,AMERICAN ATHEISTS,v390
197,268574,AMERICAN BACH SOCIETY,50430
198,265192,AMERICAN BAR ASSOCIATION,14415
199,268073,AMERICAN BIOGRAPHICAL INST.,22965
200,265500,AMERICAN BOOK PRICES CURRENT,17665
201,281672,AMERICAN BOOK REVIEW,v1248
202,268314,AMERICAN CAMPING ASSOCIATION,2620
203,268315,AMERICAN CANAL SOCIETY,2623
204,268841,AMERICAN CERAMICS,7416
205,265274,AMERICAN CHEMICAL SOCIETY,15514
206,268318,AMERICAN CHEMICAL SOCIETY,2650
207,267066,AMERICAN CINEMATOGRAPHER,21916
208,280346,AMERICAN COLLEGE OF FORENSIC E,v1001
209,266942,AMERICAN COLLEGIATE NETWORK,21786
210,270693,AMERICAN CONSERVATIVE LLC,v219
211,271545,AMERICAN CONSERVATIVE LLC,v340
212,265181,AMERICAN CONTRACT BRIDGE,14297
213,268334,AMERICAN CORRECTIONAL,2820
214,268351,AMERICAN DENTAL ASSOCIATION,2970
215,271058,AMERICAN DIALECT SOCIETY,v250
216,265031,AMERICAN DRAMA,12450
217,265947,AMERICAN ENTERPRISE,20218
218,268371,AMERICAN ENTERPRISE,3100
219,267511,AMERICAN ENTERPRISE INSTITUTE,22372
220,267191,AMERICAN EXPRESS PUBLISHING CO,22044
221,271693,AMERICAN FOLK ART MUSEUM,v361
222,268393,AMERICAN FOUNDATION FOR THE,3260
223,266925,AMERICAN FOUNDRY SOCIETY INC,21768
224,272043,AMERICAN GEOLOGICAL INSTITUTE,v400
225,266252,AMERICAN GOLFER,21045
226,265957,AMERICAN HISTORICAL PRESS,20267
227,267121,AMERICAN HISTORICAL PUBLISHERS,21972
228,266805,AMERICAN HISTORICAL SOCIETY OF,21634
229,282462,AMERICAN HOME-SCHOOL PUBLISHIN,v1389
230,266319,AMERICAN HORSE COUNCIL,21124
231,266664,AMERICAN HORSE SHOW ASSOC.,21487
232,264888,AMERICAN HOSPITAL ASSOCIATION,10682
233,265305,AMERICAN HOTEL & MOTEL,15827
234,265702,AMERICAN INDIAN SCIENCE &,18919
235,267067,AMERICAN INST OF AERONAUTICS,21917
236,267655,AMERICAN INST OF AERONAUTICS,22526
237,266432,AMERICAN INSTITUTE OF,21245
238,267636,AMERICAN INSTITUTE OF,22504
239,268293,AMERICAN INSTITUTE OF,2424
240,265122,AMERICAN INSTITUTE OF PHYSICS,13629
241,271965,AMERICAN INSTITUTE OF SMALL BU,v384
242,264999,AMERICAN INSURANCE ASSOCIATION,12151
243,266675,AMERICAN IRON & STEEL INST,21499
244,265867,AMERICAN ISRAELITE,19861
245,265739,AMERICAN JEWISH COMMITTEE,19182
246,267065,AMERICAN JOURNAL OF BOTANY,21915
247,270683,AMERICAN KENNEL CLUB INC.,v206
248,281167,AMERICAN KENNEL CLUB INC.,v208
249,264928,AMERICAN LEGAL PUBLISHING CORP,11246
250,265872,AMERICAN LEGION,19875
251,268490,AMERICAN LIBRARY ASSOCIATION,4200
252,268520,AMERICAN LIBRARY ASSOCIATION,4564
253,265185,AMERICAN LITERARY TRANSLATORS,1431
254,268497,AMERICAN MANAGEMENT,4281
255,268851,AMERICAN MANAGEMENT ASSOC.,7469
256,274244,AMERICAN MAP-LANGENSCHEIDT PUB,v566
257,268505,AMERICAN MATHEMATICAL SOCIETY,4350
258,269980,AMERICAN MEDIA INC.,v151
259,268740,AMERICAN MEDICAL ASSOCIATION,6401
260,268990,AMERICAN MINES HANDBOOK,9644
261,268804,AMERICAN MUSICAL INSTRUMENT,7037
262,268516,AMERICAN MUSICOLOGICAL SOCIETY,4520
263,265215,AMERICAN NUCLEAR SOCIETY INC,14743
264,265920,AMERICAN NURSERYMAN,20117
265,268802,AMERICAN ORIENTAL SOCIETY,7008
266,267049,AMERICAN PHARMACEUTICAL ASSO-,21899
267,268536,AMERICAN PHILOSOPHICAL SOCIETY,4763
268,281176,AMERICAN PHOTO,v1122
269,265016,AMERICAN PLANNING ASSOCIATION,1229
270,268552,AMERICAN POETRY REVIEW,4888
271,268542,AMERICAN PRINTING HOUSE,4818
272,267267,AMERICAN PRODUCTS CORPORATION,22123
273,266779,AMERICAN PROSPECT INC,21607
274,268966,AMERICAN PSYCHIATRIC ASSOCIA-,9259
275,264986,AMERICAN PSYCHOLOGICAL,12040
276,266982,AMERICAN PUBLIC TRANSPORTATION,21830
277,268551,AMERICAN PUBLIC WELFARE ASSOC.,4881
278,271057,AMERICAN RECORDER,v249
